Module,Item,Field,English,Bahasa Indonesia
Approval,(module),Title,Approval,Persetujuan
Approval,(module),Description,"Workflow approval events across RFQ, Quote, Order, Purchase Order, and Custom Product Request. Recipients resolve directly from the approval workflow.","Alur persetujuan untuk Permintaan Penawaran, Penawaran, Pesanan, Purchase Order, dan Permintaan Produk Khusus. Penerima notifikasi ditentukan langsung berdasarkan alur persetujuan."
Approval,Approval Submission,Description,"Notifies all assigned approvers when an RFQ, Quote, Order, Purchase Order, or Custom Product Request is submitted for approval.","Memberi tahu seluruh approver yang ditugaskan ketika Permintaan Penawaran, Penawaran, Pesanan, Purchase Order, atau Permintaan Produk Khusus diajukan untuk persetujuan."
Approval,Approval Submission,In-app content,"[Entity] [Number] needs your approval
[Submitter Name] submitted [Entity] [Number] for your approval.
CTA: See Detail","[Entity] [Number] memerlukan persetujuan Anda
[Submitter Name] mengirim [Entity] [Number] untuk persetujuan Anda.
CTA: Lihat Detail"
Approval,Approval Submission,Email subject,[Entity] [Number] needs your approval,[Entity] [Number] memerlukan persetujuan Anda
Approval,Approval Submission,Email body,[Submitter Name] submitted [Entity] [Number] for your approval.,[Submitter Name] mengajukan [Entity] [Number] untuk persetujuan Anda.
Approval,Approval Submission,Email CTA,See Detail,Lihat Detail
Approval,Approval Progress Update,Description,Notifies the latest submitter when an approver completes their review while other approvals are still pending.,"Memberi tahu pengaju terakhir ketika salah satu approver menyelesaikan peninjauannya, sementara persetujuan dari approver lainnya masih menunggu."
Approval,Approval Progress Update,In-app content,"[Entity] [Number] approval progressed
[Approver Name] approved [Entity] [Number]. Awaiting remaining approvers.
CTA: See Detail","Persetujuan [Entity] [Number] berlanjut
[Approver Name] menyetujui [Entity] [Number]. Menunggu approver lainnya.
CTA: Lihat Detail"
Approval,Approval Progress Update,Email subject,[Entity] [Number] approval progressed,Persetujuan [Entity] [Number] berlanjut
Approval,Approval Progress Update,Email body,[Approver Name] approved [Entity] [Number]. The request is awaiting the remaining approvers.,[Approver Name] menyetujui [Entity] [Number]. Permintaan sedang menunggu persetujuan dari approver lainnya.
Approval,Approval Progress Update,Email CTA,See Detail,Lihat Detail
Approval,Final Approval,Description,Notifies the latest submitter when all required approvers have approved the record.,Memberi tahu pengaju terakhir ketika seluruh approver yang diperlukan telah menyetujui data.
Approval,Final Approval,In-app content,"[Entity] [Number] has been approved
[Entity] [Number] has received all required approvals.
CTA: See Detail","[Entity] [Number] telah disetujui
[Entity] [Number] telah menerima seluruh persetujuan yang diperlukan.
CTA: Lihat Detail"
