Location,Key,English,Bahasa Indonesia
Quote List — header,page title,Quotes,Penawaran
Quote List — header,button,Settings,Pengaturan
Quote List — header,button,New Quote,Penawaran Baru
Quote List — status cards,status,Draft,Draf
Quote List — status cards,status,Submitted,Diajukan
Quote List — status cards,status,Issued,Diterbitkan
Quote List — status cards,status,Approved,Disetujui
Quote List — status cards,status,Rejected,Ditolak
Quote List — status cards,status,Need Revision,Perlu Revisi
Quote List — table,column header,Quote No,No. Penawaran
Quote List — table,column header,RFQ No,No. RFQ
Quote List — table,column header,Customer Name,Nama Pelanggan
Quote List — table,column header,Created By,Dibuat Oleh
Quote List — table,column header,Created At,Dibuat Pada
Quote List — table,column header,Status,Status
Quote List — filters,filter label,Customer,Pelanggan
Quote List — filters,search placeholder,"Search quote number, RFQ number, or customer","Cari nomor penawaran, nomor RFQ, atau pelanggan"
Quote List — empty state,title,No quotes found,Penawaran tidak ditemukan
Quote List — empty state,description,Try adjusting your filters or search keywords.,Coba sesuaikan filter atau kata kunci pencarian Anda.
Quote Create/Edit — header,page title,Add New Quote,Tambah Penawaran Baru
Quote Create/Edit — header,page title,Edit Quote,Ubah Penawaran
Quote Create/Edit — header,breadcrumb link,Quotes,Penawaran
Quote Create/Edit — Quote Details section,section title,Quote Details,Detail Penawaran
Quote Create/Edit — Quote Details section,field label,Currency,Mata Uang
Quote Create/Edit — Quote Details section,field label,Down Payment Percentage,Persentase Uang Muka
Quote Create/Edit — Quote Details section,field label,Valid Until,Berlaku Hingga
Quote Create/Edit — Quote Details section,placeholder,Enter date,Masukkan tanggal
Quote Create/Edit — Customer Information section,section title,Customer Information,Informasi Pelanggan
Quote Create/Edit — Customer Information section,field label,Customer Name,Nama Pelanggan
Quote Create/Edit — Customer Information section,placeholder,e.g. PT ABC Manufacturing,contoh: PT ABC Manufacturing
Quote Create/Edit — Customer Information section,suggestion action,"+ Add ""{name}"" as new customer","+ Tambah ""{name}"" sebagai pelanggan baru"
Quote Create/Edit — Customer Information section,field label,Customer Email,Email Pelanggan
Quote Create/Edit — Customer Information section,placeholder,customer@example.com,customer@example.com
Quote Create/Edit — Customer Information section,helper text,Use official company email address,Gunakan alamat email resmi perusahaan
Quote Create/Edit — Customer Information section,field label,Customer Phone,Telepon Pelanggan
Quote Create/Edit — Customer Information section,helper text,Use main office/HQ phone number,Gunakan nomor telepon kantor utama/pusat
Quote Create/Edit — Customer Information section,field label,Customer Tag,Tag Pelanggan
Quote Create/Edit — Customer Information section,helper text,Max 5 tags,Maks. 5 tag
Quote Create/Edit — Customer Information section,placeholder,Select customer tags,Pilih tag pelanggan
Quote Create/Edit — Customer Information section,field label,Customer Country,Negara Pelanggan
Quote Create/Edit — Customer Information section,placeholder,Select customer country,Pilih negara pelanggan
Quote Create/Edit — Customer Information section,field label,Customer Address,Alamat Pelanggan
Quote Create/Edit — Customer Information section,placeholder,Enter registered company address,Masukkan alamat perusahaan yang terdaftar
Quote Create/Edit — Customer Information section,helper text,Will be used for document purposes,Akan digunakan untuk keperluan dokumen
Quote Create/Edit — Person In Charge subsection,section title,Person In Charge,PIC
Quote Create/Edit — Products section,section title,Products,Produk
Quote Create/Edit — Products section,button,Add Product,Tambah Produk
Quote Create/Edit — Products section,error message,Please add at least one product,Tambahkan minimal satu produk
Quote Create/Edit — Products section,table column header,Product Name,Nama Produk
Quote Create/Edit — Products section,table column header,SKU,SKU
Quote Create/Edit — Products section,table column header,Qty,Jumlah
Quote Create/Edit — Products section,table column header,Unit Price,Harga Satuan
Quote Create/Edit — Products section,table column header,Discount,Diskon
Quote Create/Edit — Products section,table column header,Total Price,Total Harga
Quote Create/Edit — Products section,table column header,Actions,Aksi
Quote Create/Edit — Products section,row action button,Edit,Ubah
Quote Create/Edit — Products section,row action button,Delete,Hapus
Quote Create/Edit — Products section,empty state,"No products added yet. Click ""Add Product"" to get started.","Belum ada produk yang ditambahkan. Klik ""Tambah Produk"" untuk memulai."
Quote Create/Edit — Total Amount section,section title,Total Amount,Total Nilai
Quote Create/Edit — Total Amount section,field label,Subtotal,Subtotal
Quote Create/Edit — Total Amount section,field label,Tax,Pajak
Quote Create/Edit — Total Amount section,field label,Shipping Fee,Biaya Pengiriman
Quote Create/Edit — Total Amount section,placeholder,Enter amount,Masukkan jumlah
Quote Create/Edit — Total Amount section,field label,Other Fee,Biaya Lainnya
Quote Create/Edit — Total Amount section,field label,Total,Total
Quote Create/Edit — Attachments section,section title,Attachments,Lampiran
Quote Create/Edit — Attachments section,field label,Upload Documents,Unggah Dokumen
Quote Create/Edit — Bank Account section,section title,Bank Account,Rekening Bank
Quote Create/Edit — Bank Account section,field label,Bank Account,Rekening Bank
Quote Create/Edit — Bank Account section,placeholder,Select bank account,Pilih rekening bank
Quote Create/Edit — Bank Account section,helper text,Selected bank account is not supported for {currency} currency,Rekening bank yang dipilih tidak mendukung mata uang {currency}
Quote Create/Edit — Bank Account section,field label,Account Name,Nama Rekening
Quote Create/Edit — Bank Account section,field label,Account Number,Nomor Rekening
Quote Create/Edit — Bank Account section,field label,Bank Name,Nama Bank
Quote Create/Edit — Bank Account section,field label,Supported Currencies,Mata Uang yang Didukung
Quote Create/Edit — Bank Account section,field label,SWIFT Code,Kode SWIFT
Quote Create/Edit — Bank Account section,field label,Branch,Cabang
Quote Create/Edit — Bank Account section,field label,Branch Address,Alamat Cabang
Quote Create/Edit — Terms and Conditions section,section title,Terms and Conditions,Syarat dan Ketentuan
Quote Create/Edit — Terms and Conditions section,field label,Payment Terms,Syarat Pembayaran
Quote Create/Edit — Terms and Conditions section,placeholder,Select payment terms,Pilih syarat pembayaran
Quote Create/Edit — Terms and Conditions section,field label,Incoterms,Incoterms
Quote Create/Edit — Terms and Conditions section,placeholder,Select incoterms,Pilih Incoterms
Quote Create/Edit — Terms and Conditions section,field label,Risk Level,Tingkat Risiko
